payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Large record with many fields and a key/value collection","FlatBuffers","Filtering",159500000,16500,74,4.49,17215.04,65,0,0,2
"Large record with many fields and a key/value collection","FlatBuffers Owned","Writing",159500000,100000,261,2.61,4881.64,260,0,0,2
"Large record with many fields and a key/value collection","FlatBuffers Owned","Reading",159500000,100000,115,1.15,11083.81,115,0,0,2
"Large record with many fields and a key/value collection","FlatBuffers Owned","Filtering",159500000,16500,118,7.16,10797.15,115,0,0,2
"Large record with many fields and a key/value collection","Brec Storage","Writing",142619500,100000,405,4.05,2814.87,405,724,712,2
"Large record with many fields and a key/value collection","Brec Storage","Reading",142619500,100000,498,4.98,2290.56,500,1366,1366,2
"Large record with many fields and a key/value collection","Brec Storage","Filtering",142619500,16500,147,8.91,7762.44,145,0,0,2
"Large record with many fields and a key/value collection","Brec Stream","Writing",141815500,100000,360,3.60,3155.29,365,0,0,2
"Large record with many fields and a key/value collection","Brec Stream","Reading",141815500,100000,483,4.83,2349.43,480,4,4,2
"Large record with many fields and a key/value collection","Brec Stream","Filtering",141815500,16500,129,7.81,8798.55,130,4,4,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Writing",228231500,100000,695,6.95,2628.67,695,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Reading",228231500,100000,1044,10.44,1749.48,1055,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Filtering",228231500,9000,1052,116.92,1735.09,1065,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Writing",237872500,100000,1108,11.08,1717.90,1120,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Reading",237872500,100000,1783,17.83,1067.14,1805,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Filtering",237872500,9000,1773,196.99,1073.36,1790,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Writing",162483000,100000,703,7.03,1848.84,705,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Reading",162483000,100000,1084,10.84,1199.33,1090,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Filtering",162483000,9000,1089,120.98,1193.81,1095,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Writing",183712000,100000,787,7.87,1866.53,800,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Reading",183712000,100000,592,5.92,2483.63,600,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Filtering",183712000,9000,248,27.57,5923.53,250,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Writing",183712000,100000,805,8.05,1826.45,800,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Reading",183712000,100000,648,6.48,2269.53,655,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Filtering",183712000,9000,648,72.03,2267.08,650,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Writing",165246000,100000,884,8.84,1496.07,885,358,352,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Reading",165246000,100000,1011,10.11,1308.01,1020,804,804,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Filtering",165246000,9000,312,34.70,4232.69,315,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Writing",164442000,100000,834,8.34,1577.53,835,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Reading",164442000,100000,983,9.83,1337.98,995,4,4,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Filtering",164442000,9000,289,32.10,4553.05,295,4,4,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Writing",47183000,100000,178,1.78,2125.88,175,0,0,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Reading",47183000,100000,90,0.90,4195.82,90,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Writing",53876000,100000,197,1.97,2190.22,195,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Reading",53876000,100000,69,0.69,6258.77,75,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Writing",47504000,100000,317,3.17,1198.98,320,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Reading",47504000,100000,74,0.74,5148.65,65,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Writing",46700000,100000,163,1.63,2285.19,165,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Reading",46700000,100000,43,0.43,8747.31,40,4,4,2
