payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Small record with a few fields and a text message","Plain text","Writing",78740000,100000,82,0.82,7642.17,85,184,116,2
"Small record with a few fields and a text message","Plain text","Reading",78740000,100000,25,0.25,25632.82,30,4,2,2
"Small record with a few fields and a text message","Plain text","Filtering",78740000,8000,27,3.39,23260.64,20,0,0,2
"Small record with a few fields and a text message","JSON","Writing",83340000,100000,134,1.34,4977.47,135,92,88,2
"Small record with a few fields and a text message","JSON","Reading",83340000,100000,51,0.51,13122.98,55,2,2,2
"Small record with a few fields and a text message","JSON","Filtering",83340000,8000,53,6.67,12488.52,50,0,0,2
"Small record with a few fields and a text message","Protobuf","Writing",77934000,100000,137,1.37,4564.36,135,98,90,2
"Small record with a few fields and a text message","Protobuf","Reading",77934000,100000,69,0.69,9020.89,70,4,4,2
"Small record with a few fields and a text message","Protobuf","Filtering",77934000,8000,69,8.63,9031.22,70,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Writing",82836000,100000,173,1.73,3832.64,170,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Reading",82836000,100000,61,0.61,10832.11,65,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Filtering",82836000,8000,59,7.34,11283.81,50,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Writing",82836000,100000,175,1.75,3782.17,180,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Reading",82836000,100000,63,0.63,10453.53,50,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Filtering",82836000,8000,66,8.28,9998.74,65,0,0,2
"Small record with a few fields and a text message","Brec Storage","Writing",83162000,100000,287,2.87,2318.19,290,502,486,2
"Small record with a few fields and a text message","Brec Storage","Reading",83162000,100000,87,0.87,7671.01,85,1096,1096,2
"Small record with a few fields and a text message","Brec Storage","Filtering",83162000,8000,51,6.32,13166.56,55,486,486,2
"Small record with a few fields and a text message","Brec Stream","Writing",82358000,100000,236,2.36,2796.36,235,0,0,2
"Small record with a few fields and a text message","Brec Stream","Reading",82358000,100000,69,0.69,9537.99,60,4,4,2
"Small record with a few fields and a text message","Brec Stream","Filtering",82358000,8000,30,3.69,22302.65,35,4,4,2
"Large record with many fields and a key/value collection","Plain text","Writing",203231500,100000,126,1.26,12861.51,130,14,14,2
"Large record with many fields and a key/value collection","Plain text","Reading",203231500,100000,423,4.23,3844.83,425,0,0,2
"Large record with many fields and a key/value collection","Plain text","Filtering",203231500,16500,430,26.05,3782.83,435,0,0,2
"Large record with many fields and a key/value collection","JSON","Writing",212866000,100000,487,4.87,3497.24,490,0,0,2
"Large record with many fields and a key/value collection","JSON","Reading",212866000,100000,1068,10.68,1593.84,1075,0,0,2
"Large record with many fields and a key/value collection","JSON","Filtering",212866000,16500,1065,64.54,1599.02,1070,0,0,2
"Large record with many fields and a key/value collection","Protobuf","Writing",139788000,100000,239,2.39,4679.50,240,0,0,2
"Large record with many fields and a key/value collection","Protobuf","Reading",139788000,100000,518,5.18,2158.66,525,0,0,2
"Large record with many fields and a key/value collection","Protobuf","Filtering",139788000,16500,518,31.41,2157.74,525,0,0,2
"Large record with many fields and a key/value collection","FlatBuffers","Writing",159500000,100000,255,2.55,5013.75,250,0,0,2
"Large record with many fields and a key/value collection","FlatBuffers","Reading",159500000,100000,80,0.80,16047.61,85,0,0,2
