payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Large record with many fields and a key/value collection","Brec Stream","Writing",141375500,100000,387,3.87,2920.64,395,0,0,2
"Large record with many fields and a key/value collection","Brec Stream","Reading",141375500,100000,529,5.29,2137.80,525,4,4,2
"Large record with many fields and a key/value collection","Brec Stream","Filtering",141375500,16000,154,9.62,7345.32,160,4,4,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Writing",217413000,100000,708,7.08,2455.91,715,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Reading",217413000,100000,1065,10.65,1632.53,1075,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Filtering",217413000,9500,1069,112.51,1627.25,1070,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Writing",227026500,100000,1122,11.22,1618.05,1135,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Reading",227026500,100000,1808,18.08,1004.32,1815,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Filtering",227026500,9500,1804,189.92,1006.66,1820,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Writing",152849000,100000,722,7.22,1694.25,735,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Reading",152849000,100000,1080,10.80,1132.41,1090,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Filtering",152849000,9500,1092,114.92,1120.07,1100,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Writing",173140000,100000,808,8.08,1713.79,810,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Reading",173140000,100000,598,5.98,2314.75,605,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Filtering",173140000,9500,236,24.81,5877.49,235,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Writing",173140000,100000,813,8.13,1703.48,810,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Reading",173140000,100000,659,6.59,2101.64,665,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Filtering",173140000,9500,649,68.36,2132.92,655,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Writing",155773500,100000,890,8.90,1400.78,900,680,672,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Reading",155773500,100000,1006,10.06,1238.51,1015,1500,1500,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Filtering",155773500,9500,280,29.44,4456.44,290,714,714,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Writing",154969500,100000,838,8.38,1478.81,840,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Reading",154969500,100000,975,9.75,1272.08,970,4,4,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Filtering",154969500,9500,256,26.93,4845.14,260,4,4,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Writing",47119500,100000,186,1.86,2022.01,190,0,0,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Reading",47119500,100000,95,0.95,3949.46,95,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Writing",53860000,100000,205,2.05,2103.75,210,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Reading",53860000,100000,74,0.74,5799.40,65,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Writing",47504000,100000,324,3.24,1174.05,330,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Reading",47504000,100000,74,0.74,5111.18,70,170,170,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Writing",46700000,100000,171,1.71,2191.17,175,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Reading",46700000,100000,48,0.48,7792.52,40,4,4,2
