payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Large record with many fields and a key/value collection","Brec Stream","Filtering",148952000,12500,141,11.32,8421.52,140,4,4,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Writing",233151500,100000,733,7.33,2543.89,730,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Reading",233151500,100000,1208,12.08,1543.57,1225,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt Plain text","Filtering",233151500,13500,1217,90.17,1532.20,1230,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Writing",242821000,100000,1199,11.99,1620.64,1205,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Reading",242821000,100000,1915,19.15,1014.50,1930,0,0,2
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Filtering",242821000,13500,1941,143.74,1001.05,1965,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Writing",167035000,100000,773,7.73,1728.65,775,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Reading",167035000,100000,1167,11.67,1144.81,1175,0,0,2
"Large record with many fields and a key/value collection with encryption","Protobuf","Filtering",167035000,13500,1184,87.68,1128.96,1190,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Writing",188396000,100000,841,8.41,1791.95,845,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Reading",188396000,100000,640,6.40,2353.85,635,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Filtering",188396000,13500,269,19.95,5596.41,265,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Writing",188396000,100000,846,8.46,1780.60,850,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Reading",188396000,100000,674,6.74,2237.76,675,0,0,2
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Filtering",188396000,13500,690,51.08,2185.80,700,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Writing",169755500,100000,923,9.23,1471.13,930,156,152,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Reading",169755500,100000,1063,10.63,1277.51,1075,1592,1592,2
"Large record with many fields and a key/value collection with encryption","Brec Storage","Filtering",169755500,13500,359,26.60,3781.51,365,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Writing",168951500,100000,882,8.82,1533.08,875,0,0,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Reading",168951500,100000,1053,10.53,1283.24,1065,4,4,2
"Large record with many fields and a key/value collection with encryption","Brec Stream","Filtering",168951500,13500,339,25.10,3988.66,345,4,4,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Writing",46992500,100000,190,1.90,1979.75,185,0,0,2
"Borrowed blocks only (referred path benchmark)","Protobuf","Reading",46992500,100000,95,0.95,3950.98,95,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Writing",53868000,100000,210,2.10,2051.34,205,0,0,2
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Reading",53868000,100000,72,0.72,6010.55,70,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Writing",47504000,100000,315,3.15,1208.07,315,360,350,2
"Borrowed blocks only (referred path benchmark)","Brec Storage","Reading",47504000,100000,74,0.74,5128.96,75,200,200,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Writing",46700000,100000,168,1.68,2223.62,165,0,0,2
"Borrowed blocks only (referred path benchmark)","Brec Stream","Reading",46700000,100000,46,0.46,8208.12,40,4,4,2
