payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Large record with many fields and a key/value collection with encryption","Crypt JSON","Filtering",2319422000,139000,20603,148.22,900.63,20792,0,0,10
"Large record with many fields and a key/value collection with encryption","Protobuf","Writing",1574404000,1000000,8275,8.27,1522.14,8356,0,0,10
"Large record with many fields and a key/value collection with encryption","Protobuf","Reading",1574404000,1000000,12380,12.38,1017.39,12484,0,0,10
"Large record with many fields and a key/value collection with encryption","Protobuf","Filtering",1574404000,139000,12397,89.19,1015.99,12496,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Writing",1782328000,1000000,9083,9.08,1569.86,9169,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Reading",1782328000,1000000,6963,6.96,2047.66,7016,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers","Filtering",1782328000,139000,3044,21.90,4683.84,3060,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Writing",1782328000,1000000,9076,9.08,1571.10,9170,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Reading",1782328000,1000000,7520,7.52,1896.21,7583,0,0,10
"Large record with many fields and a key/value collection with encryption","FlatBuffers Owned","Filtering",1782328000,139000,7510,54.03,1898.74,7562,0,0,10
"Large record with many fields and a key/value collection with encryption","Brec Storage","Writing",1602793000,1000000,9987,9.99,1283.86,10078,3115,3112,10
"Large record with many fields and a key/value collection with encryption","Brec Storage","Reading",1602793000,1000000,11481,11.48,1116.84,11442,1703,1703,10
"Large record with many fields and a key/value collection with encryption","Brec Storage","Filtering",1602793000,139000,4074,29.31,3147.68,3912,1671,1671,10
"Large record with many fields and a key/value collection with encryption","Brec Stream","Writing",1594753000,1000000,9347,9.35,1364.96,9438,0,0,10
"Large record with many fields and a key/value collection with encryption","Brec Stream","Reading",1594753000,1000000,11054,11.05,1154.19,11135,4,4,10
"Large record with many fields and a key/value collection with encryption","Brec Stream","Filtering",1594753000,139000,3575,25.72,3568.42,3596,4,4,10
"Borrowed blocks only (referred path benchmark)","Protobuf","Writing",471333000,1000000,1961,1.96,1922.82,1977,0,0,10
"Borrowed blocks only (referred path benchmark)","Protobuf","Reading",471333000,1000000,954,0.95,3951.48,963,0,0,10
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Writing",538800000,1000000,2178,2.18,1979.31,2203,0,0,10
"Borrowed blocks only (referred path benchmark)","FlatBuffers","Reading",538800000,1000000,721,0.72,5982.20,725,0,0,10
"Borrowed blocks only (referred path benchmark)","Brec Storage","Writing",475040000,1000000,3374,3.37,1126.25,3400,6828,6809,10
"Borrowed blocks only (referred path benchmark)","Brec Storage","Reading",475040000,1000000,807,0.81,4708.46,815,7264,7264,10
"Borrowed blocks only (referred path benchmark)","Brec Stream","Writing",467000000,1000000,1804,1.80,2071.39,1819,0,0,10
"Borrowed blocks only (referred path benchmark)","Brec Stream","Reading",467000000,1000000,445,0.45,8394.98,450,4,4,10
