payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Small record with a few fields and a text message","Plain text","Writing",91016500,100000,87,0.87,8378.71,75,222,124,2
"Small record with a few fields and a text message","Plain text","Reading",91016500,100000,27,0.27,26675.33,30,36,26,2
"Small record with a few fields and a text message","Plain text","Filtering",91016500,11000,32,2.94,22527.33,30,2,0,2
"Small record with a few fields and a text message","JSON","Writing",95616500,100000,144,1.44,5297.66,150,74,74,2
"Small record with a few fields and a text message","JSON","Reading",95616500,100000,58,0.58,13128.19,55,14,14,2
"Small record with a few fields and a text message","JSON","Filtering",95616500,11000,56,5.08,13688.12,50,0,0,2
"Small record with a few fields and a text message","Protobuf","Writing",90243500,100000,140,1.40,5172.80,135,130,122,2
"Small record with a few fields and a text message","Protobuf","Reading",90243500,100000,71,0.71,10132.01,70,4,4,2
"Small record with a few fields and a text message","Protobuf","Filtering",90243500,11000,69,6.27,10468.33,70,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Writing",95144000,100000,178,1.78,4283.86,180,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Reading",95144000,100000,64,0.64,11948.96,60,0,0,2
"Small record with a few fields and a text message","FlatBuffers","Filtering",95144000,11000,58,5.31,13019.52,55,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Writing",95144000,100000,179,1.79,4249.11,185,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Reading",95144000,100000,66,0.66,11508.50,65,0,0,2
"Small record with a few fields and a text message","FlatBuffers Owned","Filtering",95144000,11000,69,6.25,11068.10,65,0,0,2
"Small record with a few fields and a text message","Brec Storage","Writing",95449500,100000,283,2.83,2693.51,290,518,496,2
"Small record with a few fields and a text message","Brec Storage","Reading",95449500,100000,92,0.92,8273.20,85,1182,1182,2
"Small record with a few fields and a text message","Brec Storage","Filtering",95449500,11000,53,4.84,14334.55,60,1072,1072,2
"Small record with a few fields and a text message","Brec Stream","Writing",94645500,100000,238,2.38,3182.32,240,0,0,2
"Small record with a few fields and a text message","Brec Stream","Reading",94645500,100000,74,0.74,10202.19,70,4,4,2
"Small record with a few fields and a text message","Brec Stream","Filtering",94645500,11000,33,2.96,23228.09,25,4,4,2
