payload,platform,case,bytes,rows,time_ms,avg_us_per_row,rate_mbit_s,cpu_ms,rss_kb,peak_rss_kb,iterations
"Small record with a few fields and a text message","Plain text","Writing",1884,4,1,299.26,12.59,0,352,0,1
"Small record with a few fields and a text message","Plain text","Reading",1884,4,1,236.80,15.91,0,0,0,1
"Small record with a few fields and a text message","Plain text","Filtering",1884,0,1,0.00,23.28,0,0,0,1
"Small record with a few fields and a text message","JSON","Writing",2068,4,1,164.45,25.15,0,128,0,1
"Small record with a few fields and a text message","JSON","Reading",2068,4,1,148.16,27.92,0,24,0,1
"Small record with a few fields and a text message","JSON","Filtering",2068,0,1,0.00,22.90,0,0,0,1
"Small record with a few fields and a text message","Protobuf","Writing",1858,4,1,172.24,21.57,0,0,0,1
"Small record with a few fields and a text message","Protobuf","Reading",1858,4,1,172.21,21.58,0,4,0,1
"Small record with a few fields and a text message","Protobuf","Filtering",1858,0,1,0.00,23.40,0,0,0,1
"Small record with a few fields and a text message","FlatBuffers","Writing",2048,4,1,182.14,22.49,0,0,0,1
"Small record with a few fields and a text message","FlatBuffers","Reading",2048,4,1,186.23,21.99,0,0,0,1
"Small record with a few fields and a text message","FlatBuffers","Filtering",2048,0,1,0.00,20.45,0,0,0,1
"Small record with a few fields and a text message","FlatBuffers Owned","Writing",2048,4,7,1631.62,2.51,0,68,16,1
"Small record with a few fields and a text message","FlatBuffers Owned","Reading",2048,4,1,269.91,15.18,0,12,0,1
"Small record with a few fields and a text message","FlatBuffers Owned","Filtering",2048,0,1,0.00,14.87,10,8,0,1
"Small record with a few fields and a text message","Brec Storage","Writing",6050,4,1,160.83,75.23,0,8,0,1
"Small record with a few fields and a text message","Brec Storage","Reading",6050,4,6,1555.02,7.78,0,8,8,1
"Small record with a few fields and a text message","Brec Storage","Filtering",6050,0,6,0.00,7.47,0,0,0,1
"Small record with a few fields and a text message","Brec Stream","Writing",2030,4,6,1615.27,2.51,0,0,0,1
"Small record with a few fields and a text message","Brec Stream","Reading",2030,4,1,241.51,16.81,0,4,0,1
"Small record with a few fields and a text message","Brec Stream","Filtering",2030,0,1,0.00,16.26,0,12,0,1
"Large record with many fields and a key/value collection","Plain text","Writing",12590,4,1,273.70,92.00,0,8,0,1
"Large record with many fields and a key/value collection","Plain text","Reading",12590,4,1,239.77,105.02,0,0,0,1
"Large record with many fields and a key/value collection","Plain text","Filtering",12590,0,7,0.00,15.17,10,0,0,1
"Large record with many fields and a key/value collection","JSON","Writing",12974,4,7,1727.46,15.02,0,0,0,1
"Large record with many fields and a key/value collection","JSON","Reading",12974,4,7,1736.52,14.94,0,0,0,1
